group_name,group_value,method,total,valid,invalid_or_missing,binary_accuracy,balanced_accuracy,positive_accept,false_alarm,negative_reject,miss_rate,error_field_exact_norm,error_field_overlap_norm,invalid_rate
field_category,path_terminator,V3_D_SFT_group1v2_neutralized,37,34,3,0.918918918918919,,,,1.0,0.0,0.058823529411764705,1.0,0.08108108108108109
field_category,positive,V3_D_SFT_group1v2_neutralized,200,184,16,0.035,,0.03804347826086957,0.9619565217391305,,,,,0.08
field_category,sequence,V3_D_SFT_group1v2_neutralized,36,32,4,0.8888888888888888,,,,1.0,0.0,0.0,0.84375,0.1111111111111111
field_category,turn,V3_D_SFT_group1v2_neutralized,18,18,0,1.0,,,,1.0,0.0,0.0,0.6111111111111112,0.0
field_category,altitude_constraint,V4_C4_tolerant_chartdisplay_v2,18,18,0,0.2777777777777778,,,,0.2777777777777778,0.7222222222222222,0.0,0.1111111111111111,0.0
field_category,course_or_radial,V4_C4_tolerant_chartdisplay_v2,19,19,0,0.42105263157894735,,,,0.42105263157894735,0.5789473684210527,0.0,0.0,0.0
field_category,fix_ident,V4_C4_tolerant_chartdisplay_v2,18,18,0,1.0,,,,1.0,0.0,0.0,1.0,0.0
field_category,hold_params,V4_C4_tolerant_chartdisplay_v2,54,54,0,0.42592592592592593,,,,0.42592592592592593,0.5740740740740741,0.0,0.24074074074074073,0.0
field_category,path_terminator,V4_C4_tolerant_chartdisplay_v2,37,37,0,0.21621621621621623,,,,0.21621621621621623,0.7837837837837838,0.0,0.0,0.0
field_category,positive,V4_C4_tolerant_chartdisplay_v2,200,200,0,0.615,,0.615,0.385,,,,,0.0
field_category,sequence,V4_C4_tolerant_chartdisplay_v2,36,36,0,0.3055555555555556,,,,0.3055555555555556,0.6944444444444444,0.0,0.1111111111111111,0.0
field_category,turn,V4_C4_tolerant_chartdisplay_v2,18,18,0,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0.0
field_category,altitude_constraint,V4_D_SFT_tolerant_chartdisplay_v2,18,17,1,0.3333333333333333,,,,0.35294117647058826,0.6470588235294118,0.0,0.29411764705882354,0.05555555555555555
field_category,course_or_radial,V4_D_SFT_tolerant_chartdisplay_v2,19,16,3,0.5789473684210527,,,,0.6875,0.3125,0.0,0.6875,0.15789473684210525
field_category,fix_ident,V4_D_SFT_tolerant_chartdisplay_v2,18,18,0,1.0,,,,1.0,0.0,0.05555555555555555,1.0,0.0
field_category,hold_params,V4_D_SFT_tolerant_chartdisplay_v2,54,51,3,0.5370370370370371,,,,0.5686274509803921,0.43137254901960786,0.0,0.47058823529411764,0.05555555555555555
field_category,path_terminator,V4_D_SFT_tolerant_chartdisplay_v2,37,34,3,0.4594594594594595,,,,0.5,0.5,0.0,0.4411764705882353,0.08108108108108109
field_category,positive,V4_D_SFT_tolerant_chartdisplay_v2,200,184,16,0.53,,0.5760869565217391,0.42391304347826086,,,,,0.08
field_category,sequence,V4_D_SFT_tolerant_chartdisplay_v2,36,32,4,0.3333333333333333,,,,0.375,0.625,0.0,0.34375,0.1111111111111111
field_category,turn,V4_D_SFT_tolerant_chartdisplay_v2,18,18,0,0.5,,,,0.5,0.5,0.0,0.3333333333333333,0.0
